unidad,regimen,n_trabajadores,sueldo_min,sueldo_mediana,sueldo_maximo,masa_mensual,fuente,url,fecha_descarga,nota
Programa Warmi Nan (ex-Aurora / PNCVFS),CAS,5491,3364,4364,22317,23534531,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Programa que atiende la violencia (CEM/Linea 100). Casi todo CAS (contrato temporal). id_entidad 13102. min=p25.
INABIF,CAS,2007,1764,2264,15264,5686650,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Programa Integral Nacional para el Bienestar Familiar. min=p25.
MIMP (sede central),CAS,1620,3364,4364,19673,7983914,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Sede del ministerio. id_entidad 142. min=p25.
MIMP (sede central),Ley Servir,7,20533,30000,57400,234564,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Altos funcionarios: mediana S/ 30000 (7x la mediana de quienes atienden violencia). min=p25.
MIMP (sede central),PAC,1,4000,4000,4000,4000,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Personal Altamente Calificado.
CONADIS,CAS,659,2064,2364,15600,2201437,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Consejo Nacional para la Integracion de la Persona con Discapacidad. min=p25.
Programa Contigo (pension no contributiva),CAS,91,3864,4864,14364,575331,Portal de Transparencia Estandar (PTE) via repo peru-transparente,https://unimauro.github.io/peru-transparente/,2026-09-08,Pension no contributiva a personas con discapacidad severa. min=p25.
