anio,total_atenciones,psicologica,fisica,sexual,economica,fuente,url,fecha_descarga
2017,[NO DISPONIBLE],[NO DISPONIBLE],[NO DISPONIBLE],[NO DISPONIBLE],[NO DISPONIBLE],"Cartilla/boletin 2017 no ubicado en el portal (migracion de plataforma). Verificar en Banco de Datos Warmi Nan",https://portalestadistico.warminan.gob.pe/cem-casos-nacional/,2026-09-08
2018,133697,66628,53607,12839,623,"Cartilla Estadistica PNCVFS N12-Diciembre 2018 (seccion 2.2 Tipo de Violencia); registro administrativo CEM, no comparable con ENDES",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2019/01/Cartilla-Estad%C3%ADstica-PNCVFS-12-Diciembre-2018.pdf,2026-09-08
2019,181885,90235,72582,18044,1024,"Cartilla Estadistica AURORA N12-2019 (seccion 2.2 Tipo de Violencia); economica=Violencia Economica o Patrimonial",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2020/11/Cartilla-Estadistica-AURORA-Ano-2019-1.pdf,2026-09-08
2020,114495,55995,44125,13843,532,"Cartilla Estadistica AURORA N09-2020 (seccion 2.2 Tipo de Violencia); caida por Estado de Emergencia COVID-19",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2021/01/Cartilla-Estadistica-AURORA-Diciembre-2020.pdf,2026-09-08
2021,163797,75894,64805,22456,642,"Cartilla Estadistica AURORA N12-2021 (seccion 2.2 Tipo de Violencia)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2022/01/Cartilla-Estadistica-AURORA-Diciembre-2021-1.pdf,2026-09-08
2022,154202,66623,59521,27362,696,"Boletin Estadistico Diciembre 2022, cuadro Global-1 (Casos por tipo de violencia, fila Total: Total|Economica|Psicologica|Fisica|Sexual)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2022/Diciembre/paginas/Global-1.xlsx,2026-09-08
2023,166313,71075,63726,30837,675,"Boletin Estadistico Diciembre 2023, cuadro Global-1 (Casos por tipo de violencia, fila Total)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2023/Diciembre/paginas/Global-1.xlsx,2026-09-08
2024,168492,71717,63692,32388,695,"Boletin Estadistico Diciembre 2024, cuadro Global-1 (Casos por tipo de violencia, fila Total)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2024/Diciembre/paginas/Global-1.xlsx,2026-09-08
2025,169536,74004,62617,32180,735,"Boletin Estadistico Diciembre 2025, cuadro Global-1 (Casos por tipo de violencia, fila Total)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/Global-1.xlsx,2026-09-08
