anio,n_cem_total,n_cem_24h,n_cem_regular,fuente,url,fecha_descarga
2017,295,[NO DISPONIBLE],[NO DISPONIBLE],"Boletin Dic-2025 Cuadro 1.1 (CEM implementados acumulado 1999-2025); n_cem_total=acumulado. Sin desagregacion 7x24 para 2017",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2018,346,5,341,"n_cem_total: Cuadro 1.1. 24h=CEM 7x24 (Cartilla Dic-2018: 240 Regulares, 5 7x24, 100 Comisaria, 1 Centro Salud). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2019,396,5,391,"n_cem_total: Cuadro 1.1. 24h=CEM 7x24 (Cartilla 2019: 240 Regulares, 5 7x24, 150 Comisaria, 1 Centro Salud). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2020,416,5,411,"n_cem_total: Cuadro 1.1. 24h=CEM 7x24 (Cartilla 2020: 240 Regulares, 5 7x24, 167 Comisaria, 1 Centro Salud). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2021,430,5,425,"n_cem_total: Cuadro 1.1. 24h=CEM 7x24 (Cartilla 2021: 240 Regulares, 5 7x24, 184 Comisaria, 1 Centro Salud). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2022,430,5,425,"n_cem_total: Cuadro 1.1. 24h=categoria 7x24 del Boletin Global-1 Dic-2022 (Regular 240, 7x24 5, Comisaria 184, Centro Salud 1). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2023,433,5,428,"n_cem_total: Cuadro 1.1. 24h=categoria 7x24 del Boletin Global-1 Dic-2023 (Regular 242, 7x24 5, Comisaria 185, Centro Salud 1). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2024,433,5,428,"n_cem_total: Cuadro 1.1. 24h=categoria 7x24 del Boletin Global-1 Dic-2024 (Regular 242, 7x24 5, Comisaria 185, Centro Salud 1). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
2025,433,5,428,"n_cem_total: Cuadro 1.1. 24h=categoria 7x24 del Boletin Global-1 Dic-2025 (Regular 241, 7x24 5, Comisaria 186, Centro Salud 1). n_cem_regular=total-24h",https://portalestadistico.warminan.gob.pe/wp-content/uploads/boletin/2025/Diciembre/paginas/1.1.xlsx,2026-09-08
