anio,generica_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2020,OTROS GASTOS,0.0,4446735.0,4308084.9,4297894.42,4297894.42,4296055.89,96.65,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,PENSIONES Y OTRAS PRESTACIONES SOCIALES,31162848.0,27348714.0,26525745.95,26199705.48,26196931.76,26071298.07,95.79,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,PERSONAL Y OBLIGACIONES SOCIALES,50782770.0,46848767.0,45207369.09,45189053.12,45187332.66,45163991.12,96.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2021,ADQUISICION DE ACTIVOS NO FINANCIEROS,10153585.0,15903792.0,12979807.39,12772118.74,12772118.74,12767496.68,80.31,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,BIENES Y SERVICIOS,567187711.0,516513489.0,506369778.52,505357718.75,505355409.24,504949547.53,97.84,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,DONACIONES Y TRANSFERENCIAS,10000000.0,392389.0,392389.0,392389.0,392389.0,392389.0,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,OTROS GASTOS,26673764.0,24836054.0,23508806.36,23489377.61,23488777.61,23457905.51,94.58,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,PENSIONES Y OTRAS PRESTACIONES SOCIALES,33099153.0,28013781.0,26750321.71,26623092.83,26623092.83,26623092.83,95.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,PERSONAL Y OBLIGACIONES SOCIALES,50237242.0,45236752.0,44486122.36,44114432.02,44113477.41,44111073.65,97.52,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2022,ADQUISICION DE ACTIVOS NO FINANCIEROS,16221127.0,24874034.0,22146665.38,22138286.72,22137613.72,22137613.72,89.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
