anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2017,MATERIALES Y UTILES DE ENSEÑANZA,1288680.0,1770725.0,1562748.44,1525064.44,1525064.44,1524855.84,86.13,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,OBLIGACIONES DEL EMPLEADOR,2088963.0,2092098.0,2070332.58,2062440.92,2062440.92,2062440.92,98.58,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,OTROS GASTOS DE ACTIVOS NO FINANCIEROS,0.0,316750.0,310135.0,280079.0,280079.0,280079.0,88.42,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,PAGO DE SENTENCIAS JUDICIALES Y LAUDOS ARBITRALES,40883.0,3214070.0,2921087.94,2921087.94,2915723.44,2915723.44,90.72,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,PENSIONES,19980195.0,20902941.0,20702286.8,20702286.8,20622104.83,20610906.59,98.66,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,PERSONAL ADMINISTRATIVO,32255462.0,29945660.0,29766587.74,29766587.74,29716508.6,29689132.48,99.23,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,PERSONAL OBRERO,0.0,0.0,0.0,0.0,0.0,0.0,,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,REPUESTOS Y ACCESORIOS,161972.0,202737.0,191554.85,191554.03,191554.03,191531.03,94.48,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,RETRIBUCIONES EN BIENES O SERVICIOS,559558.0,1420237.0,1414255.26,1404040.26,1404040.26,1404040.26,98.86,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,"SERVICIO DE MANTENIMIENTO, ACONDICIONAMIENTO Y  REPARACIONES",6642255.0,9311995.0,9078006.77,8958572.38,8956188.78,8935650.5,96.18,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
