anio,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2019,732645644.0,585187492.0,570316359.68,566238492.08,564286126.49,562159072.32,96.43,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2020,732363274.0,576452620.0,558762632.85,556790535.54,556645270.4,555460563.54,96.56,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2021,697351455.0,630896257.0,614487225.34,612749128.95,612745264.83,612301505.2,97.12,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2022,713410049.0,741276191.0,727568958.2,724890606.31,724843186.54,724075869.71,97.78,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2023,789544666.0,861060692.0,848122359.15,846333746.26,846144092.27,845416260.22,98.27,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2024,969611508.0,932617113.0,924647695.85,922136919.49,922073379.93,920920290.38,98.87,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2025,996297133.0,1005357090.0,1000714184.46,999229435.55,995592697.35,992982792.44,99.03,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
