anio,departamento_meta,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2019,PROVINCIA CONSTITUCIONAL DEL CALLAO,6582952.0,16221494.0,16072360.75,16004949.45,15897895.85,15877187.25,98.01,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,PUNO,5074197.0,12694730.0,12476490.05,12442387.69,12440461.42,12393477.38,98.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,SAN MARTIN,0.0,3820728.0,3768035.75,3761689.19,3761689.19,3753689.39,98.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,TACNA,2567252.0,7387361.0,7286747.65,7273846.72,7273051.72,7224597.49,98.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,TUMBES,527707.0,3910186.0,3853091.45,3830131.39,3830131.39,3745264.42,97.95,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,UCAYALI,221429.0,5060895.0,4528251.91,4487397.68,4484477.68,4467857.49,88.61,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2020,AMAZONAS,5165110.0,2854376.0,2807765.21,2803442.85,2803442.85,2798769.55,98.22,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,ANCASH,11495535.0,11443527.0,11389324.34,11381801.28,11381801.28,11314813.17,99.46,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,APURIMAC,5263779.0,4429985.0,4392463.93,4391280.49,4391280.49,4379864.02,99.13,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,AREQUIPA,15756675.0,18502738.0,18272703.89,18261303.8,18257055.92,18229036.71,98.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,AYACUCHO,7465173.0,6845176.0,6768205.33,6760763.8,6759944.6,6743167.46,98.75,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,CAJAMARCA,6685708.0,5551844.0,5489157.72,5481143.1,5481143.1,5459251.34,98.73,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,CUSCO,13538544.0,14697390.0,14568916.43,14560493.08,14560469.08,14534865.31,99.07,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,HUANCAVELICA,3883087.0,3403356.0,3356464.28,3352984.11,3352984.11,3347694.01,98.52,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,HUANUCO,8364146.0,7492884.0,7415662.98,7411342.14,7407057.53,7355136.99,98.85,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,ICA,11436568.0,11846612.0,11709187.65,11687546.0,11684480.0,11635668.75,98.63,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,JUNIN,10661784.0,11267006.0,11149026.02,11142847.49,11142847.49,11126103.61,98.9,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,LA LIBERTAD,8588683.0,12313632.0,12214747.53,12209683.19,12207183.19,12177274.07,99.14,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,LAMBAYEQUE,8064699.0,10139173.0,10038936.08,10029687.15,10029687.15,9976369.63,98.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,LIMA,542211457.0,378838929.0,363237112.34,361465095.04,361368301.33,360827421.6,95.39,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,LORETO,8206579.0,8042217.0,7859087.6,7847177.43,7847177.43,7770208.11,97.57,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,MADRE DE DIOS,3622722.0,5404169.0,5296913.25,5266506.64,5266506.64,5249512.58,97.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,MOQUEGUA,2885585.0,3539179.0,3501440.82,3498808.49,3498808.49,3491864.39,98.86,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,PASCO,3285535.0,2498759.0,2490919.82,2487967.2,2487967.2,2481096.95,99.57,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,PIURA,7504929.0,7773002.0,7689849.05,7687228.23,7657138.49,7636930.91,98.51,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
